OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GPS BIIR-5  (PRN 22),2000-040A,2026-08-12T08:59:02.040288,2.00558041,.01196426,54.8451,212.9311,303.1576,229.6099,0,U,26407,999,19107,0,.27E-6,0
GPS BIIR-8  (PRN 16),2003-005A,2026-08-12T10:45:59.677632,2.00557476,.01490315,54.8752,212.7342,53.3316,309.2996,0,U,27663,999,17244,0,.27E-6,0
GPS BIIR-11 (PRN 19),2004-009A,2026-08-12T07:15:57.364128,2.00552646,.01179971,54.7852,273.4161,175.5285,233.7885,0,U,28190,999,16407,0,.4E-7,0
GPS BIIR-13 (PRN 02),2004-045A,2026-08-11T03:26:16.778400,2.00558204,.01708361,55.1002,322.6819,317.7050,39.8819,0,U,28474,999,15952,0,-.85E-6,0
GPS BIIRM-1 (PRN 17),2005-038A,2026-08-12T04:38:24.982944,2.00561762,.01285551,54.8348,270.9132,296.8217,64.1722,0,U,28874,999,15296,0,.9E-7,0
INMARSAT 4-F2 (SOUTHPAN/PRN 122),2005-044A,2026-08-12T13:42:15.421248,1.00270611,.00023171,5.1682,43.7191,86.5750,179.7846,0,U,28899,999,7608,0,-.278E-5,0
GPS BIIRM-2 (PRN 31),2006-042A,2026-08-12T14:12:22.346784,2.00566681,.01079714,54.7137,149.0992,56.0428,132.2101,0,U,29486,999,14552,0,-.12E-6,0
GPS BIIRM-3 (PRN 12),2006-052A,2026-08-12T06:14:37.256352,2.00561167,.00848573,54.9296,211.7840,91.0844,269.8750,0,U,29601,999,14453,0,.28E-6,0
GPS BIIRM-4 (PRN 15),2007-047A,2026-08-12T13:36:21.692736,2.00552719,.01685775,54.1386,77.7419,88.6706,273.3453,0,U,32260,999,13794,0,-.13E-6,0
COSMOS 2433 (720),2007-052A,2026-08-11T18:10:32.474784,2.13104092,.00044653,65.5421,314.0634,213.0790,146.9418,0,U,32275,999,14624,0,-.54E-6,0
COSMOS 2432 (719),2007-052B,2026-08-11T08:46:14.200896,2.13103106,.00078442,65.5583,314.2056,313.2940,49.7687,0,U,32276,999,14626,0,-.54E-6,0
GPS BIIRM-5 (PRN 29),2007-062A,2026-08-12T15:06:26.790336,2.00563154,.00361394,54.9888,271.8798,169.0202,5.0147,0,U,32384,999,13664,0,.4E-7,0
COSMOS 2434 (721),2007-065A,2026-08-11T02:35:23.723808,2.13101172,.00011675,64.3207,190.0635,342.9878,128.3875,0,U,32393,999,14494,0,.25E-6,0
COSMOS 2436 (723),2007-065C,2026-08-10T10:40:29.678016,2.13099912,.00173242,64.3292,190.1587,354.8318,99.8915,0,U,32395,999,14488,0,.33E-6,0
